example_id                                                        | status  | run_time        |
./spec/models/concerns/llm_integration_spec.rb[1:3:1]             | passed  | 0.00043 seconds |
./spec/models/concerns/llm_integration_spec.rb[1:3:2]             | passed  | 0.00056 seconds |
./spec/models/concerns/llm_integration_spec.rb[1:3:3]             | passed  | 0.00779 seconds |
./spec/models/concerns/llm_integration_spec.rb[1:4:1]             | passed  | 0.0004 seconds  |
./spec/models/concerns/llm_integration_spec.rb[1:4:2]             | passed  | 0.00041 seconds |
./spec/models/concerns/llm_integration_spec.rb[1:4:3]             | passed  | 0.00043 seconds |
./spec/models/concerns/llm_integration_spec.rb[1:4:4]             | passed  | 0.00074 seconds |
./spec/models/concerns/llm_integration_spec.rb[1:4:5]             | passed  | 0.0004 seconds  |
./spec/models/concerns/llm_integration_spec.rb[1:4:6]             | passed  | 0.00038 seconds |
./spec/models/entity_spec.rb[1:1]                                 | pending | 0.00001 seconds |
./spec/models/story_spec.rb[1:1:1]                                | passed  | 0.00224 seconds |
./spec/models/story_spec.rb[1:1:2]                                | passed  | 0.00506 seconds |
./spec/models/story_spec.rb[1:2:1]                                | passed  | 0.00152 seconds |
./spec/models/story_spec.rb[1:3:1:1]                              | passed  | 0.00296 seconds |
./spec/models/story_spec.rb[1:3:2:1]                              | passed  | 0.00289 seconds |
./spec/models/story_spec.rb[1:4:1:1:1]                            | passed  | 0.00222 seconds |
./spec/models/story_spec.rb[1:4:1:2:1]                            | passed  | 0.00235 seconds |
./spec/models/story_spec.rb[1:4:2:1]                              | passed  | 0.01232 seconds |
./spec/models/story_spec.rb[1:5:1:1:1]                            | passed  | 0.00234 seconds |
./spec/models/story_spec.rb[1:5:1:2:1]                            | passed  | 0.00236 seconds |
./spec/models/story_spec.rb[1:5:1:3:1]                            | passed  | 0.00285 seconds |
./spec/models/story_theme_spec.rb[1:1:1]                          | passed  | 0.00321 seconds |
./spec/models/story_theme_spec.rb[1:1:2]                          | passed  | 0.00282 seconds |
./spec/models/story_theme_spec.rb[1:2:1]                          | passed  | 0.00394 seconds |
./spec/models/story_theme_spec.rb[1:2:2]                          | passed  | 0.00281 seconds |
./spec/models/story_theme_spec.rb[1:3:1:1]                        | passed  | 0.00935 seconds |
./spec/models/story_theme_spec.rb[1:4:1:1:1]                      | passed  | 0.01067 seconds |
./spec/models/story_theme_spec.rb[1:4:1:2:1]                      | passed  | 0.00903 seconds |
./spec/models/story_theme_spec.rb[1:4:2:1:1]                      | passed  | 0.00843 seconds |
./spec/models/story_theme_spec.rb[1:4:2:2:1]                      | passed  | 0.0111 seconds  |
./spec/models/story_theme_spec.rb[1:4:3:1]                        | passed  | 0.00347 seconds |
./spec/models/story_theme_spec.rb[1:4:3:2]                        | passed  | 0.01057 seconds |
./spec/models/story_theme_spec.rb[1:4:4:1]                        | passed  | 0.00511 seconds |
./spec/models/story_theme_spec.rb[1:4:4:2]                        | passed  | 0.00621 seconds |
./spec/models/user_spec.rb[1:1:1]                                 | passed  | 0.00213 seconds |
./spec/models/user_spec.rb[1:1:2]                                 | passed  | 0.0981 seconds  |
./spec/models/user_spec.rb[1:1:3]                                 | passed  | 0.00345 seconds |
./spec/models/user_spec.rb[1:1:4]                                 | passed  | 0.0018 seconds  |
./spec/models/user_spec.rb[1:2:1]                                 | passed  | 0.00251 seconds |
./spec/models/user_spec.rb[1:2:2]                                 | passed  | 0.00872 seconds |
./spec/models/user_spec.rb[1:2:3]                                 | passed  | 0.00533 seconds |
./spec/models/user_spec.rb[1:2:4]                                 | passed  | 0.00518 seconds |
./spec/models/user_spec.rb[1:3:1]                                 | passed  | 0.00168 seconds |
./spec/models/user_spec.rb[1:4:1]                                 | passed  | 0.00188 seconds |
./spec/models/user_spec.rb[1:4:2]                                 | passed  | 0.00218 seconds |
./spec/services/theming/image_provider_service_spec.rb[1:1:1:1]   | passed  | 0.0035 seconds  |
./spec/services/theming/image_provider_service_spec.rb[1:1:2:1:1] | passed  | 0.00313 seconds |
./spec/services/theming/image_provider_service_spec.rb[1:1:2:1:2] | passed  | 0.00313 seconds |
./spec/services/theming/image_provider_service_spec.rb[1:1:2:1:3] | passed  | 0.00334 seconds |
./spec/services/theming/image_provider_service_spec.rb[1:1:2:2:1] | passed  | 0.00299 seconds |
./spec/services/theming/image_provider_service_spec.rb[1:1:2:3:1] | passed  | 0.00349 seconds |
./spec/services/theming/image_provider_service_spec.rb[1:2:1]     | passed  | 0.00725 seconds |
./spec/services/theming/image_provider_service_spec.rb[1:2:2]     | passed  | 0.00858 seconds |
./spec/services/theming/image_provider_service_spec.rb[1:3:1]     | passed  | 0.0036 seconds  |
./spec/services/theming/image_provider_service_spec.rb[1:3:2]     | passed  | 0.00273 seconds |
./spec/services/theming/image_provider_service_spec.rb[1:3:3]     | passed  | 0.00281 seconds |
./spec/services/theming/theme_identifier_service_spec.rb[1:1:1:1] | passed  | 0.00236 seconds |
./spec/services/theming/theme_identifier_service_spec.rb[1:1:2:1] | passed  | 0.01764 seconds |
./spec/services/theming/theme_identifier_service_spec.rb[1:1:2:2] | passed  | 0.02304 seconds |
./spec/services/theming/theme_identifier_service_spec.rb[1:1:3:1] | passed  | 0.00278 seconds |
./spec/services/theming/theme_identifier_service_spec.rb[1:2:1]   | passed  | 0.06454 seconds |
./spec/services/theming/theme_identifier_service_spec.rb[1:2:2]   | passed  | 0.03426 seconds |
./spec/services/theming/theme_identifier_service_spec.rb[1:3:1]   | passed  | 0.0208 seconds  |
./spec/services/theming/theme_identifier_service_spec.rb[1:3:2]   | passed  | 0.014 seconds   |
./spec/services/theming/theme_management_service_spec.rb[1:1:1:1] | passed  | 0.00273 seconds |
./spec/services/theming/theme_management_service_spec.rb[1:1:2:1] | passed  | 0.00845 seconds |
./spec/services/theming/theme_management_service_spec.rb[1:1:3:1] | passed  | 0.10041 seconds |
./spec/services/theming/theme_management_service_spec.rb[1:1:3:2] | passed  | 0.09784 seconds |
./spec/services/theming/theme_management_service_spec.rb[1:1:3:3] | passed  | 0.09649 seconds |
./spec/services/theming/theme_management_service_spec.rb[1:1:3:4] | passed  | 0.10744 seconds |
./spec/services/theming/theme_management_service_spec.rb[1:1:4:1] | passed  | 0.10101 seconds |
./spec/services/theming/theme_management_service_spec.rb[1:2:1]   | passed  | 0.00569 seconds |
./spec/services/theming/theme_management_service_spec.rb[1:3:1:1] | passed  | 0.00569 seconds |
./spec/services/theming/theme_management_service_spec.rb[1:3:2:1] | passed  | 0.01052 seconds |
./spec/services/theming/theme_management_service_spec.rb[1:4:1:1] | passed  | 0.00478 seconds |
./spec/services/theming/theme_management_service_spec.rb[1:4:2:1] | passed  | 0.00705 seconds |
./spec/services/theming/theme_management_service_spec.rb[1:4:3:1] | passed  | 0.00686 seconds |
./spec/views/stories/show.html.erb_spec.rb[1:1:1]                 | passed  | 0.00475 seconds |
./spec/views/stories/show.html.erb_spec.rb[1:1:2]                 | passed  | 0.00436 seconds |
./spec/views/stories/show.html.erb_spec.rb[1:2:1]                 | passed  | 0.00447 seconds |
./spec/views/stories/show.html.erb_spec.rb[1:2:2]                 | passed  | 0.00639 seconds |
